Rank,Team,Goals,Shots pg,Possession%,Pass%,AerialsWon,Rating,Yellow card,Red card
1,Liverpool,101,17.1,54.7,84.1,15.2,7.18,54,1
2,Manchester City,100,17.7,55.7,85.5,15.2,7.13,72,1
3,Chelsea,71,18.2,53.9,82.7,19.3,7.07,57,3
4,Arsenal,70,13.8,55.7,85.5,17.9,7.05,53,4
5,Everton,62,14.8,54.4,83.2,14.3,7.01,55,1
6,Manchester United,64,13.8,54.3,84,15.4,6.95,66,3
7,Southampton,53,14.1,56.5,81.1,17.4,6.91,60,0
8,Crystal Palace,33,10.9,41.1,70.2,23.2,6.85,58,2
9,Tottenham,51,15.4,53.4,81.1,15,6.84,66,4
10,Stoke,43,11.3,48.1,77.3,25.3,6.83,72,5
11,Newcastle United,43,15.2,49.8,79.4,20.6,6.82,52,6
12,Swansea,49,13,55.6,84.8,14.9,6.81,55,3
13,West Ham,38,11.1,44.2,73.1,21.2,6.79,62,5
14,West Bromwich Albion,43,12.8,47.2,77.1,18.2,6.75,67,0
15,Hull,38,11.3,45.9,76.1,18.9,6.72,53,4
16,Aston Villa,42,11.3,44.8,73.2,19.3,6.71,78,0
17,Sunderland,47,12.9,46.7,77.5,15,6.68,69,7
18,Norwich,31,12.3,46.4,75.9,15.8,6.66,62,2
19,Fulham,43,11.3,45.7,78,17.1,6.66,58,1
20,Cardiff,30,11,45.9,75.4,18.5,6.64,49,1
R,Team,Goals,Shots pg,Possession%,Pass%,AerialsWon,Rating,Yellow card,Red card
1,Arsenal,70,16.1,55.7,83.8,19.8,7.15,68,2
2,Manchester City,84,17.6,57,84.6,15.9,7.07,77,2
3,Chelsea,73,14.8,54.1,83.2,18.6,7.06,73,4
4,Manchester United,61,13.5,58.8,85.1,15.8,6.99,64,5
5,Southampton,49,13.4,51.9,79.7,16.9,6.91,57,3
6,Liverpool,51,15.5,54.3,82.8,14.9,6.9,66,3
7,Tottenham,58,13.9,55.2,81.2,16,6.89,79,4
8,Stoke,47,13.2,50.2,77.5,24.4,6.87,82,1
9,Swansea,44,11.2,50.7,82.1,14.4,6.86,48,5
10,West Ham,45,12.9,46.7,74.6,22.9,6.85,64,2
11,Leicester,51,12,44.8,71.1,23.4,6.84,50,4
12,Crystal Palace,46,11.6,42.7,69.4,23.7,6.83,63,4
13,Everton,48,12.7,53.6,82.5,15.3,6.82,66,2
14,Burnley,29,11.3,44,70.3,25.1,6.79,64,2
15,Queens Park Rangers,42,14.1,46.3,70.8,21.7,6.77,75,3
16,West Bromwich Albion,37,10.8,44.9,75,17.2,6.77,64,3
17,Sunderland,35,10.7,46.2,76.1,15.3,6.75,94,2
18,Hull,32,11.3,45.6,76.5,21.9,6.75,73,6
19,Newcastle United,41,12.3,48.1,76.9,17.7,6.74,65,7
20,Aston Villa,32,11,49.1,79,18.5,6.69,70,7
Rank,Team,Goals,Shots pg,Possession%,Pass%,AerialsWon,Rating,Yellow card,Red card
1,Arsenal,66,15.1,56.9,84.2,15.2,7.08,40,4
2,Leicester,68,13.7,44.7,70.5,18.8,7.06,48,3
3,Tottenham,71,17.3,55.3,80.5,14.3,7.01,72,0
4,Manchester City,71,16.2,55.2,83.1,15.7,7.01,61,0
5,West Ham,67,14.7,49.1,77.6,17.7,6.92,58,5
6,Southampton,57,13.7,49.3,77.7,19.3,6.91,57,6
7,Liverpool,63,16.6,55,80.2,16.5,6.91,61,3
8,Everton,58,12.9,51.5,81.4,12.9,6.88,44,5
9,Chelsea,58,13.8,54.4,82.5,14.1,6.87,58,5
10,Manchester United,47,11.3,55.8,82.3,13.1,6.83,65,1
11,Watford,40,11.7,46.3,72.6,17.4,6.8,73,3
12,Sunderland,48,11.6,43.3,71,17.3,6.76,64,2
13,Crystal Palace,40,12.3,46.8,74.4,17.8,6.76,60,2
14,Swansea,43,11.6,52,80.9,13.7,6.75,60,1
15,Stoke,41,11,50,79.1,16.4,6.74,51,4
16,Newcastle United,44,10.4,47.4,76.6,13.9,6.73,60,5
17,West Bromwich Albion,32,10.2,42.3,70,19.1,6.72,65,3
18,Bournemouth,45,12.2,51,79.8,15.3,6.71,53,1
19,Aston Villa,27,10,47.3,77.8,19.1,6.69,75,3
20,Norwich,39,11,46.5,73.6,17.4,6.61,61,3
Rank,Team,Goals,Shots pg,Possession%,Pass%,AerialsWon,Rating,Yellow card,Red card
1,Chelsea,85,15.3,54,83.9,14.2,7.05,72,0
2,Tottenham,86,17.6,57.4,82.5,15,7.04,62,0
3,Manchester City,80,16.7,60.9,85.5,15.4,7.01,71,4
4,Arsenal,77,14.9,56.5,83.8,16.7,6.99,68,3
5,Manchester United,54,15.6,55,84.2,16.4,6.99,78,2
6,Liverpool,78,16.8,58.3,82.4,17.3,6.98,54,0
7,Everton,62,13.2,51.5,79,17.5,6.91,72,2
8,Southampton,41,14.5,53.1,80.5,17.1,6.76,59,2
9,West Ham,47,13.1,48.4,78.2,19.1,6.76,78,5
10,Stoke,41,11.2,47.2,75.3,21.3,6.76,70,2
11,Crystal Palace,50,11.6,46.7,73.4,22,6.76,77,0
12,Middlesbrough,27,9.2,47.9,77.3,20.3,6.74,77,1
13,Bournemouth,55,11.9,51.3,81.3,14.4,6.74,52,3
14,Burnley,39,10.3,42.7,67.8,24,6.72,65,2
15,Leicester,48,11.4,43.7,70.1,20.2,6.71,72,1
16,West Bromwich Albion,43,10.5,40.7,70.4,17.7,6.69,80,0
17,Swansea,45,10.7,48.3,78.9,17.8,6.68,56,0
18,Watford,40,11.1,47,74,19.1,6.65,84,5
19,Sunderland,29,10.2,42.8,72.6,16.2,6.62,78,4
20,Hull,37,10.4,46.7,77.4,15.5,6.6,67,5
Rank,Team,Goals,Shots pg,Possession%,Pass%,AerialsWon,Rating,Yellow card,Red card
1,Manchester City,106,17.5,66.4,89,13.8,7.15,59,2
2,Liverpool,84,16.8,58,83.8,15.7,6.99,44,1
3,Manchester United,68,13.5,53.9,83.6,16.6,6.98,64,1
4,Tottenham,74,16.4,58.8,83.8,16.3,6.95,50,2
5,Chelsea,62,15.9,54.4,84.3,16.2,6.94,42,4
6,Arsenal,74,15.6,58.5,84.3,17,6.92,57,2
7,Crystal Palace,45,12.5,46.9,75.4,20.2,6.84,72,0
8,Burnley,36,9.9,45.1,70.5,25.2,6.78,65,0
9,Leicester,56,11.1,48.3,74.7,20.9,6.74,52,5
10,Newcastle United,39,11.9,43.8,72.3,23.8,6.72,52,2
11,West Ham,48,9.8,46.5,75.5,19.7,6.72,73,2
12,Stoke,35,10.1,43.7,71.5,26,6.7,62,1
13,Brighton,34,10.1,45.1,74.9,21.4,6.69,54,2
14,Southampton,37,11.8,51,77.5,18.5,6.67,63,2
15,Everton,44,9.4,46.7,74.3,20.4,6.67,51,3
16,Watford,44,11.6,49.3,75.5,22.6,6.66,63,4
17,Bournemouth,45,12.2,48.5,77,19,6.65,55,1
18,West Bromwich Albion,31,9.9,42.8,72.4,21,6.63,73,1
19,Huddersfield,28,9.5,46.4,74,21.2,6.61,62,3
20,Swansea,28,8.9,46,78.2,18.5,6.59,51,1
